Company_name,First_name,Last_name,Email,Alumni,Release_info,Checked_in,Checked_in_time,Table_number,id_number
Ben inc,Ben,Faute ,bdf2768@rit.edu,False,False,False,2023-09-06 12:01:25.021442,17,12532
company name,first name,yuh,email@email.com,True,False,False,2023-09-06 12:01:24.953415,53,12531
Adam's Super Real Company LLC,Adam,test,ajgoce@rit.edu,True,True,False,2023-09-06 12:01:24.884459,22,12530
ben inc,Benjamin,Fauteux,benfauteux@comcast.net,False,False,False,2023-09-06 12:01:24.814434,45,12529
ben inc,Benjamin,Fauteux,benfauteux@comcast.net,True,False,False,2023-09-06 12:01:24.734861,36,12528
ben incbvjjhfj,Benjamin,Fauteux,benfauteux@comcast.net,False,False,True,2023-09-06 11:54:03.229867,,12527
Ben inc,Ben,Fauteux,bdfoce@rit.edu,True,False,False,2023-09-06 12:01:25.086412,16,12533
ben inc,Benjamin,Fauteux,benfauteux@comcast.net,True,False,False,2023-09-06 12:01:25.152434,15,12534
ben inc,Benjamin,Fauteux,benfauteux@comcast.net,True,False,False,2023-09-06 12:01:25.216412,12,12535
ben inc,Benjamin,Fauteux,benfauteux@comcast.net,True,False,False,2023-09-06 12:02:30.425227,36,12536
ben inc,Benjamin,Fauteux,benfauteux@comcast.net,False,False,False,2023-09-06 12:02:30.497901,45,12537
Adam's Super Real Company LLC,Adam,test,ajgoce@rit.edu,True,True,False,2023-09-06 12:02:30.564435,22,12538
company name,first name,yuh,email@email.com,True,False,False,2023-09-06 12:02:30.631068,53,12539
Ben inc,Ben,Faute ,bdf2768@rit.edu,False,False,False,2023-09-06 12:02:30.699923,17,12540
Ben inc,Ben,Fauteux,bdfoce@rit.edu,True,False,False,2023-09-06 12:02:30.767790,16,12541
ben inc,Benjamin,Fauteux,benfauteux@comcast.net,True,False,False,2023-09-06 12:02:30.841551,15,12542
ben inc,Benjamin,Fauteux,benfauteux@comcast.net,True,False,False,2023-09-06 12:02:30.911922,12,12543
ben inc,Benjamin,Fauteux,benfauteux@comcast.net,False,False,True,2023-09-06 12:03:01.335548,,12544
ben inc,Benjamin,Fauteux,benfauteux@comcast.net,True,False,False,2023-09-06 12:04:11.140552,12514,12545
ben inc,Benjamin,Fauteux,benfauteux@comcast.net,True,False,False,2023-09-06 12:09:04.309098,36,12546
ben inc,Benjamin,Fauteux,benfauteux@comcast.net,False,False,False,2023-09-06 12:09:04.381177,45,12547
Adam's Super Real Company LLC,Adam,test,ajgoce@rit.edu,True,True,False,2023-09-06 12:09:04.448469,22,12548
company name,first name,yuh,email@email.com,True,False,False,2023-09-06 12:09:04.520588,53,12549
Ben inc,Ben,Faute ,bdf2768@rit.edu,False,False,False,2023-09-06 12:09:04.594769,17,12550
Ben inc,Ben,Fauteux,bdfoce@rit.edu,True,False,False,2023-09-06 12:09:04.670731,16,12551
ben inc,Benjamin,Fauteux,benfauteux@comcast.net,True,False,False,2023-09-06 12:09:04.745670,15,12552
ben inc,Benjamin,Fauteux,benfauteux@comcast.net,True,False,False,2023-09-06 12:09:04.815658,12,12553
ben inc,Benjamin,Fauteux,benfauteux@comcast.net,True,False,False,2023-09-06 12:10:20.527920,36,12554
ben inc,Benjamin,Fauteux,benfauteux@comcast.net,False,False,False,2023-09-06 12:10:20.592948,45,12555
Adam's Super Real Company LLC,Adam,test,ajgoce@rit.edu,True,True,False,2023-09-06 12:10:20.656920,22,12556
company name,first name,yuh,email@email.com,True,False,False,2023-09-06 12:10:20.721945,53,12557
Ben inc,Ben,Faute ,bdf2768@rit.edu,False,False,False,2023-09-06 12:10:20.789930,17,12558
Ben inc,Ben,Fauteux,bdfoce@rit.edu,True,False,False,2023-09-06 12:10:20.857791,16,12559
ben inc,Benjamin,Fauteux,benfauteux@comcast.net,True,False,False,2023-09-06 12:10:20.924955,15,12560
ben inc,Benjamin,Fauteux,benfauteux@comcast.net,True,False,False,2023-09-06 12:10:20.993792,12,12561
ben inc,Benjamin,Fauteux,benfauteux@comcast.net,True,False,False,2023-09-06 12:12:14.651333,36,12562
ben inc,Benjamin,Fauteux,benfauteux@comcast.net,False,False,False,2023-09-06 12:12:14.717184,45,12563
Adam's Super Real Company LLC,Adam,test,ajgoce@rit.edu,True,True,False,2023-09-06 12:12:14.782379,22,12564
company name,first name,yuh,email@email.com,True,False,False,2023-09-06 12:12:14.845811,53,12565
Ben inc,Ben,Faute ,bdf2768@rit.edu,False,False,False,2023-09-06 12:12:14.910190,17,12566
Ben inc,Ben,Fauteux,bdfoce@rit.edu,True,False,False,2023-09-06 12:12:14.974218,16,12567
ben inc,Benjamin,Fauteux,benfauteux@comcast.net,True,False,False,2023-09-06 12:12:15.049222,15,12568
ben inc,Benjamin,Fauteux,benfauteux@comcast.net,True,False,False,2023-09-06 12:12:15.114187,12,12569
